Roger Federer,830
Rafael Nadal,665
Andy Roddick,648
Lleyton Hewitt,641
Patrick Rafter,601
Tim Henman,579
Pete Sampras,578
Mark Philippoussis,551
Sjeng Schalken,549
Andre Agassi,549
Andy Murray,548
Mario Ancic,535
David Nalbandian,535
Juan Ferrero,534
Novak Djokovic,531
Sebastien Grosjean,529
Alexander Popp,527
Goran Ivanisevic,523
Jonas Bjorkman,521
Marcos Baghdatis,505
Feliciano Lopez,500
Tomas Berdych,481
Mikhail Youzhny,478
Tommy Haas,449
Radek Stepanek,449
Rainer Schuettler,445
Marat Safin,445
Richard Gasquet,444
Dmitry Tursunov,437
Fernando Verdasco,433
Fernando Gonzalez,430
Nicolas Escude,391
Florian Mayer,391
Xavier Malisse,387
Thomas Johansson,387
Max Mirnyi,387
Thomas Enqvist,386
Jarkko Nieminen,386
Arnaud Clement,368
Olivier Rochus,365
David Ferrer,360
Richard Krajicek,359
Jo-Wilfried Tsonga,359
Joachim Johansson,359
David Prinosil,359
Byron Black,359
Janko Tipsarevic,357
Todd Martin,355
Stanislas Wawrinka,355
Jan-Michael Gambill,355
Nicolas Kiefer,342
Ivo Karlovic,332
Greg Rusedski,332
Wayne Ferreira,320
Justin Gimelstob,320
Igor Andreev,320
Younes Aynaoui,313
Gilles Simon,313
Vladimir Voltchkov,306
Marin Cilic,306
Taylor Dent,301
Robin Soderling,301
Fabrice Santoro,299
Tommy Robredo,290
Victor Hanescu,280
Hicham Arazi,280
Andrei Pavel,280
Andreas Seppi,280
Paul-Henri Mathieu,268
Mardy Fish,268
James Blake,268
Guillermo Canas,268
Yevgeny Kafelnikov,267
Karol Kucera,267
Irakli Labadze,267
Sargis Sargsian,254
Nicolas Lapentti,254
Simone Bolelli,250
Gael Monfils,250
Daniele Bracciali,250
Wayne Arthurs,248
Jurgen Melzer,248
Guillermo Garcia-Lopez,237
Andre Sa,237
Jiri Novak,232
Viktor Troicki,231
Philipp Petzschner,231
Jesse Levine,231
Gustavo Kuerten,231
Gianluca Pozzi,231
Dudi Sela,231
Marc Rosset,215
Guillermo Coria,215
Flavio Saretta,215
Carlos Moya,215
Nikolay Davydenko,214
Christian Vinck,208
Vince Spadea,198
Ivan Ljubicic,198
Paradorn Srichaphan,193
Hyung-Taik Lee,193
Raemon Sluiter,189
Philipp Kohlschreiber,189
Karol Beck,189
Mischa Zverev,188
Michel Kratochvil,188
Michael Chang,188
Marc Gicquel,188
Juan Potro,188
Jan Vacek,188
Gilles Elseneer,188
Stefan Koubek,177
Stefano Galvani,158
Nicolas Mahut,158
Gilles Muller,158
Benjamin Becker,158
Agustin Calleri,152
Wayne Black,150
Todd Woodbridge,150
Stephane Huet,150
Slava Dosedel,150
Simon Stadler,150
Nicolas Devilder,150
Martin Damm,150
Magnus Larsson,150
Magnus Gustafsson,150
Jerome Golmard,150
Jeff Morrison,150
