Rafael Nadal,843
Roger Federer,681
Gustavo Kuerten,655
Juan Ferrero,625
Tommy Robredo,608
Albert Costa,581
Lleyton Hewitt,579
Novak Djokovic,566
Alex Corretja,566
David Nalbandian,553
Nikolay Davydenko,546
Gaston Gaudio,529
Gael Monfils,512
Marat Safin,508
Guillermo Coria,508
Carlos Moya,508
Fernando Gonzalez,493
David Ferrer,491
Sebastien Grosjean,484
Guillermo Canas,473
Igor Andreev,469
Andre Agassi,460
Yevgeny Kafelnikov,454
Mario Ancic,444
Mariano Puerta,444
Martin Verkerk,434
Tommy Haas,433
Tim Henman,430
Paul-Henri Mathieu,430
Franco Squillari,424
Xavier Malisse,413
Victor Hanescu,413
Fernando Verdasco,413
Radek Stepanek,386
Jarkko Nieminen,386
Ivan Ljubicic,368
Robin Soderling,357
Nicolas Almagro,357
Mariano Zabaleta,357
Younes Aynaoui,354
Jeremy Chardy,354
Ernests Gulbis,354
Andy Murray,354
Mikhail Youzhny,342
Fernando Vicente,337
Albert Montanes,337
Jiri Novak,332
Thomas Enqvist,326
Stanislas Wawrinka,320
Galo Blanco,320
Nicolas Lapentti,317
Juan Chela,317
Magnus Norman,313
Juan Potro,313
Julien Benneteau,310
Nicolas Coutelot,306
Jurgen Melzer,301
Olivier Mutis,300
Juan Monaco,291
Nicolas Massu,280
Nicolas Kiefer,280
Martin Arguello,280
Hicham Arazi,280
Flavio Saretta,280
Felix Mantilla,280
Fabrice Santoro,273
Sjeng Schalken,267
Mark Philippoussis,267
Arnaud Clement,262
Filippo Volandri,254
Dmitry Tursunov,254
Simone Bolelli,250
Marin Cilic,250
Fernando Meligeni,250
Cedric Pioline,250
Attila Savolt,250
Jose Acasuso,248
Andy Roddick,248
Michael Llodra,246
Potito Starace,237
Philipp Kohlschreiber,237
David Sanchez-Munoz,237
James Blake,232
Maximo Gonzalez,231
Jo-Wilfried Tsonga,231
Andrei Medvedev,231
Andrea Gaudenzi,231
Vince Spadea,214
Olivier Rochus,214
Tomas Berdych,213
Oscar Perez,213
Luis Horna,213
Janko Tipsarevic,213
Hyung-Taik Lee,213
Florent Serra,213
Albert Portas,213
Richard Krajicek,208
Magnus Larsson,208
Julien Jeanpierre,208
Jason Stoltenberg,208
Jan Hajek,208
Edouard Roger-Vasselin,208
Dominik Hrbaty,198
Andrei Pavel,193
Wayne Ferreira,189
Olivier Patience,189
Marcos Baghdatis,189
Marc Gicquel,189
Lars Burgsmuller,189
Bohdan Ulihrach,189
Ruben Hidalgo,188
Michael Russell,188
Mathieu Montcourt,188
Lukas Dlouhy,188
Stefan Koubek,177
Alberto Martin,177
Sargis Sargsian,168
Richard Gasquet,168
Raemon Sluiter,168
Jonas Bjorkman,163
Feliciano Lopez,163
Christophe Rochus,163
Michel Kratochvil,158
Michael Chang,158
Karol Kucera,158
Arnaud Pasquale,158
Alejandro Falla,158
Wayne Arthurs,152
