Andre Agassi,799
Roger Federer,756
Rafael Nadal,653
Andy Roddick,637
Marat Safin,628
David Nalbandian,579
Sebastien Grosjean,569
Wayne Ferreira,549
Novak Djokovic,548
Marcos Baghdatis,531
James Blake,529
Lleyton Hewitt,527
Tommy Haas,524
Pete Sampras,524
Thomas Johansson,508
Juan Ferrero,508
Yevgeny Kafelnikov,505
Jo-Wilfried Tsonga,497
Dominik Hrbaty,493
Magnus Norman,490
Nikolay Davydenko,484
Mario Ancic,481
Fernando Gonzalez,462
Tim Henman,460
Jiri Novak,454
Patrick Rafter,436
David Ferrer,433
Todd Martin,424
Younes Aynaoui,417
Nicolas Escude,417
Tomas Berdych,413
Mardy Fish,410
Chris Woodruff,409
Tommy Robredo,408
Mikhail Youzhny,408
Gilles Simon,391
Andreas Vinciguerra,391
Rainer Schuettler,388
Philipp Kohlschreiber,388
Mark Philippoussis,388
Hicham Arazi,388
Guillermo Coria,388
Juan Chela,387
Jarkko Nieminen,387
Guillermo Canas,386
Fabrice Santoro,368
Arnaud Clement,365
Radek Stepanek,360
Nicolas Kiefer,360
Fernando Verdasco,357
Marin Cilic,354
Juan Potro,354
Stefan Koubek,337
Nicolas Lapentti,332
Richard Gasquet,326
Albert Costa,320
Stanislas Wawrinka,313
Greg Rusedski,313
Gael Monfils,313
Andy Murray,313
Adrian Voinea,313
Jurgen Melzer,301
Feliciano Lopez,301
Slava Dosedel,300
Marcelo Rios,300
Robby Ginepri,291
Paul-Henri Mathieu,291
Igor Andreev,291
Taylor Dent,280
Guillermo Garcia-Lopez,280
Gaston Gaudio,280
Andrei Pavel,280
Ivan Ljubicic,273
Jonas Bjorkman,268
Joachim Johansson,267
Francisco Clavet,267
Andrew Ilie,267
Amer Delic,267
Christophe Rochus,262
Sargis Sargsian,254
Sam Querrey,250
Michel Kratochvil,250
Dudi Sela,250
Janko Tipsarevic,237
Fernando Vicente,237
Nathan Healey,231
Wayne Arthurs,214
Paradorn Srichaphan,214
Olivier Rochus,214
Max Mirnyi,214
Carlos Moya,214
Alberto Martin,214
Sjeng Schalken,213
Peter Luczak,213
Florian Mayer,213
Daniel Nestor,208
Gustavo Kuerten,189
Gilles Muller,189
Dmitry Tursunov,189
Marc Gicquel,188
Kevin Kim,188
Karol Beck,188
Denis Gremelmayr,188
Alex Calatrava,188
Xavier Malisse,177
Lars Burgsmuller,168
Ivo Karlovic,168
Kristof Vliegen,158
Jerome Golmard,158
Franco Squillari,158
Bohdan Ulihrach,158
Mariano Zabaleta,152
Wayne Black,150
Simone Bolelli,150
Richard Krajicek,150
Paul Capdeville,150
Karim Alami,150
Goran Ivanisevic,150
Gianluca Pozzi,150
David Prinosil,150
Danai Udomchoke,150
Cedric Pioline,150
Alex Kim,150
Yen-Hsun Lu,137
Thomas Enqvist,137
Michal Tabara,137
Karol Kucera,137
Juan Monaco,137
