Roger Federer,811
Pete Sampras,711
Lleyton Hewitt,699
Andy Roddick,655
Andre Agassi,641
Novak Djokovic,609
Juan Potro,570
Rafael Nadal,566
Tommy Haas,558
Tommy Robredo,534
Andy Murray,531
James Blake,529
Sjeng Schalken,527
Marat Safin,524
Nikolay Davydenko,521
Carlos Moya,493
Fernando Verdasco,491
David Nalbandian,484
Juan Ferrero,478
Fernando Gonzalez,478
Jiri Novak,473
Yevgeny Kafelnikov,454
Tomas Berdych,454
Guillermo Coria,454
Xavier Malisse,449
Mikhail Youzhny,433
Arnaud Clement,427
Stanislas Wawrinka,417
Thomas Johansson,410
David Ferrer,410
Tim Henman,409
Marin Cilic,409
Robby Ginepri,408
Dominik Hrbaty,408
Jo-Wilfried Tsonga,397
Todd Martin,388
Nicolas Kiefer,387
Max Mirnyi,363
Joachim Johansson,359
Marcelo Rios,354
Gael Monfils,354
Juan Chela,337
Taylor Dent,332
Robin Soderling,332
Radek Stepanek,332
Paradorn Srichaphan,332
Younes Aynaoui,326
Jan-Michael Gambill,326
Gustavo Kuerten,326
Thomas Enqvist,320
Richard Gasquet,320
Nicolas Almagro,320
Hicham Arazi,320
Nicolas Massu,317
Hyung-Taik Lee,317
Sargis Sargsian,313
Sam Querrey,313
Gilles Simon,313
John Isner,306
Gilles Muller,306
Kei Nishikori,301
Dmitry Tursunov,301
Richard Krajicek,300
Marco Chiudinelli,300
Sebastien Grosjean,290
Mardy Fish,290
Jurgen Melzer,280
Jonas Bjorkman,280
Jarkko Nieminen,280
Feliciano Lopez,280
Andrei Pavel,280
Alex Corretja,280
Ramon Delgado,267
Michael Llodra,254
Albert Costa,254
Ernests Gulbis,250
Olivier Rochus,246
Wayne Ferreira,237
Karol Kucera,237
Igor Andreev,237
Philipp Kohlschreiber,232
Viktor Troicki,231
Ricardo Mello,231
Patrick Rafter,231
Ivan Ljubicic,231
Rainer Schuettler,216
Marc Gicquel,215
Jerome Golmard,215
Guillermo Canas,215
Stefan Koubek,214
Agustin Calleri,214
Richard Fromberg,208
Lukasz Kubot,208
Denis Istomin,208
Daniel Koellerer,208
Alexander Peya,208
Ivo Karlovic,193
Greg Rusedski,193
Gaston Gaudio,193
Davide Sanguinetti,193
Kristian Pless,189
Florent Serra,189
Wesley Moodie,188
Magnus Norman,188
Benjamin Becker,188
Fabrice Santoro,185
Vince Spadea,177
Nicolas Lapentti,177
Jose Acasuso,163
Paul Capdeville,158
Karol Beck,158
Mariano Zabaleta,152
Justin Gimelstob,152
Thomaz Bellucci,150
Philipp Petzschner,150
Michal Tabara,150
Jesse Witten,150
Jean-Rene Lisnard,150
Gregory Carraz,150
Goran Ivanisevic,150
Flavio Cipolla,150
Chris Woodruff,150
Cedric Pioline,150
Andreas Beck,150
Paul-Henri Mathieu,138
Alberto Martin,138
Fernando Vicente,137
Cyril Saulnier,137
